Date,Product_Category,Sales_Volume,Price,Promotion,Store_Location,Weekday,Supplier_Cost,Replenishment_Lead_Time,Stock_Level
2022-01-01,Household,1583,5.190661373524142,0,Urban,5,9.299280855332018,9,207
2022-01-02,Personal Care,1103,8.949595984685402,0,Urban,6,13.274108581775032,5,253
2022-01-03,Dairy,455,4.867987326502611,0,Rural,0,13.302264839521472,9,245
2022-01-04,Personal Care,1107,16.968595719261735,1,Urban,1,10.056158446917369,5,265
2022-01-05,Personal Care,1447,4.309673394986819,1,Rural,2,3.5628615563574995,8,334
2022-01-06,Snacks,1256,19.25483047825256,1,Urban,3,13.013454054703645,1,245
2022-01-07,Dairy,987,8.902239956791874,0,Suburban,4,13.348354812041519,7,356
2022-01-08,Dairy,1928,17.07866054836194,0,Rural,5,3.351476981817901,4,201
2022-01-09,Dairy,1963,12.946531545912958,1,Rural,6,11.19267824367482,5,63
2022-01-10,Personal Care,226,14.9716556746493,1,Urban,0,4.654533459443282,6,374
2022-01-11,Household,1229,15.586753873268826,0,Rural,1,12.13828452911748,5,195
2022-01-12,Dairy,1108,10.592052755967337,0,Rural,2,14.95994954860224,1,475
2022-01-13,Personal Care,703,11.32270994390248,0,Suburban,3,0.9353770772761958,9,106
2022-01-14,Snacks,1922,10.765921488365775,0,Suburban,4,13.511805053968512,2,260
2022-01-15,Household,1501,12.173109183711505,1,Urban,5,9.528142737180541,9,317
2022-01-16,Snacks,1113,1.5584944693736387,0,Suburban,6,14.614047977889907,2,259
2022-01-17,Household,150,8.514788227131291,0,Urban,0,7.2426380041332,9,66
2022-01-18,Personal Care,1152,12.51758555766226,0,Urban,1,12.78712499328492,6,335
2022-01-19,Beverages,1585,12.356747739861422,1,Urban,2,1.4047139946750198,9,393
2022-01-20,Household,1419,16.066165797506997,1,Rural,3,5.361546226135288,6,252
2022-01-21,Snacks,1420,13.445177437810063,0,Suburban,4,1.4717397973925446,6,148
2022-01-22,Personal Care,1849,19.850533010472773,0,Urban,5,14.642475435446523,2,328
2022-01-23,Household,878,6.393236043564255,0,Suburban,6,12.346121655441632,8,258
2022-01-24,Beverages,1530,7.823869563658398,1,Urban,0,12.861937608066572,3,178
2022-01-25,Beverages,1892,8.293095885488128,1,Suburban,1,14.100495855791467,7,384
2022-01-26,Dairy,913,9.850443333384721,1,Suburban,2,1.7340005487368877,5,337
2022-01-27,Dairy,1736,16.883963211842982,0,Urban,3,6.091165091443334,3,301
2022-01-28,Snacks,1528,5.480049785224987,1,Rural,4,1.5300058911380308,1,314
2022-01-29,Household,1469,15.74400393367316,0,Suburban,5,3.556499972475415,8,320
2022-01-30,Household,1745,8.700893478629125,0,Rural,6,3.8258037670462492,3,461
2022-01-31,Dairy,519,12.435252289578163,0,Rural,0,7.302054560189891,2,457
2022-02-01,Household,1305,13.018270131299817,1,Urban,1,4.394151428077818,1,237
