Month,Region,Product_Category,Product_Name,Product_Sub_Category,SKU,Quantity,Volume
may23,Accra,Milk Products,qty_CBSweetmilk14G,Pwd Milk,14,,18732
may23,Accra,Milk Products,qty_CBSweetmilk5G,Pwd Milk,5,,2125
may23,Accra,Milk Products,qty_Cowbell12GSht,Pwd Milk,12,1132.0,74112
may23,Accra,Milk Products,qty_Cowbell23G,Pwd Milk,23,3161.0,207207
may23,Accra,Milk Products,qty_Cowbell360GSht,Pwd Milk,360,,27720
may23,Accra,Milk Products,qty_Cowbell400GTin,Pwd Milk,400,20.0,42400
may23,Accra,Milk Products,qty_Cowbell400GTinForeign,Pwd Milk,400,5.0,2000
may23,Accra,Milk Products,qty_Cowbell5G,Pwd Milk,5,,1620
may23,Accra,Milk Products,qty_Miksi10GSht,Pwd Milk,10,9.0,14940
may23,Accra,Milk Products,qty_Miksi20G,Pwd Milk,20,48.0,14000
may23,Accra,Milk Products,qty_Miksi23GSht,Pwd Milk,23,15.0,18147
may23,Accra,Milk Products,qty_Miksi355GSht,Pwd Milk,355,,8520
may23,Accra,Milk Products,qty_Miksi400GTin,Pwd Milk,400,,5200
may23,Accra,Milk Products,qty_Miksi5G,Pwd Milk,5,10.0,380
may23,Accra,Milk Products,qty_Idealdairydelight26G,Pwd Milk,26,394.0,213642
may23,Accra,Milk Products,qty_DanoCoolCow12gsht,Pwd Milk,12,108.0,33360
may23,Accra,Milk Products,qty_DanoCoolCow23GSht,Pwd Milk,23,86.0,14835
may23,Accra,Milk Products,qty_DanoCoolCow360GSht,Pwd Milk,360,,18720
may23,Accra,Milk Products,qty_DanoCoolCow400GTin,Pwd Milk,400,,14800
may23,Accra,Milk Products,qty_danohyemema13gsht,Pwd Milk,13,373.0,49725
may23,Accra,Milk Products,qty_NidoEssentia23G,Pwd Milk,23,2571.0,523434
may23,Accra,Milk Products,qty_NidoEssentia365GSht,Pwd Milk,365,,262435
may23,Accra,Milk Products,qty_NidoEssentiaNPak14G,Pwd Milk,14,1888.0,312256
may23,Accra,Milk Products,qty_Nidofortified400GTin,Pwd Milk,400,12.0,59600
may23,Accra,Milk Products,qty_NidoPlusOne400GTin,Pwd Milk,400,15.0,86800
may23,Accra,Milk Products,qty_threecrowns12g,Pwd Milk,12,196.0,3708
may23,Accra,Milk Products,qty_ABCNonDairyCreamer20GSht,NDC Pwd,20,848.0,43400
may23,Accra,Milk Products,qty_Atona1KGSht,NDC Pwd,1000,2.0,2000
may23,Accra,Milk Products,qty_Atona20G,NDC Pwd,20,1671.0,38140
may23,Accra,Milk Products,qty_Atona250GSht,NDC Pwd,250,4.0,1000
may23,Accra,Milk Products,qty_Atona40G,NDC Pwd,40,683.0,27680
may23,Accra,Milk Products,qty_BalonaNonDairy20g,NDC Pwd,20,779.0,186560
may23,Accra,Milk Products,qty_BalonaNonDiary250g,NDC Pwd,250,,80500
may23,Accra,Milk Products,qty_BalonaNonDiary35g,NDC Pwd,35,357.0,38885
may23,Accra,Milk Products,qty_BestWayNonDairyCreamer20GSht,NDC Pwd,20,,5900
may23,Accra,Milk Products,qty_easynondairy20gsht,NDC Pwd,20,8.0,8040
may23,Accra,Milk Products,qty_easynondairy250gsht,NDC Pwd,250,,138750
may23,Accra,Milk Products,qty_EnaPaNonDairy20G,NDC Pwd,20,553.0,15180
may23,Accra,Milk Products,qty_EnaPaNonDairy250GSht,NDC Pwd,250,,15250
may23,Accra,Milk Products,qty_EnaPaNonDairy40GSht,NDC Pwd,40,10.0,400
